Route_ID;Route_Name;SERVICE_NA;UN;OP_NOC;DIST;PO_MOD;SENTIDO;COD_USUARI;COD_TS;COD_SINSER;COD_SINRUT;COD_USUSEN;TIPO_SERV;FREC_PM;FREC_PT;PLAZAS_PM;PLAZAS_PT;SEL_PM;SEL_PT;SEN1;VALIDA
7552;C02cIPM;VARIANTE PUNTA MAÑANA;6;;4.728436697;Sin Modificacion;I;C02c;B52c;B52c;B52 C0 01I;C02cI;2;5;0;517;0;1;0;0;1
7553;C02cR;(M) LOS DOMINICOS - SAN CARLOS DE APOQUI;6;;5.298152734;Sin Modificacion;R;C02c;B52c;B52c;B52 C0 00R;C02cR;1;0;8;0;824;0;1;0;1
7554;J18I;ENEA - (M) SAN PABLO;5;;9.54378566;Sin Modificacion;I;J18;538;T538;T538 00I;J18I;1;7;5;718;490;1;1;0;1
7555;J18I_fjudo;VARIANTE FERIA;5;;10.41735523;Sin Modificacion;I;J18;538;T538;T538 06I;J18I;5;0;0;0;0;0;0;0;1
7561;424R_fmavi;VARIANTE FERIA;5;;19.08063252;Sin Modificacion;R;424;543;T543;T543 07R;424R;5;0;0;0;0;0;0;0;1
7572;518I;J.J. PEREZ - BILBAO;5;SI;23.52655532;Sin Modificacion;I;518;518;T518;T518 00I;518I;1;7;5;914;596;1;1;0;1
7573;518R;BILBAO - J.J. PEREZ;5;SI;23.27134867;Sin Modificacion;R;518;518;T518;T518 00R;518R;1;6;5;653;656;1;1;0;1
7576;F20R_fdo;VARIANTE FERIA;7;;20.49188326;Sin Modificacion;R;F20;F20;F20;F20 09R;F20R;5;0;0;0;0;0;0;0;1
7577;F20R_fmi;VARIANTE FERIA;7;;20.4742081;Sin Modificacion;R;F20;F20;F20;F20 07R;F20R;5;0;0;0;0;0;0;0;1
7578;F20R;PIE ANDINO - (M) LA CISTERNA;7;SI;22.5018845;Sin Modificacion;R;F20;F20;F20;F20 00R;F20R;1;6;6;600;540;1;1;0;1
7579;F20RPRN;VARIANTE PRENOCTURNA;7;;22.52916677;Sin Modificacion;R;F20;F20;F20;F20 04R;F20R;2;0;0;0;0;0;0;0;1
7580;F20R_fmavi;VARIANTE FERIA;7;;22.15201986;Sin Modificacion;R;F20;F20;F20;F20 06R;F20R;5;0;0;0;0;0;0;0;1
7581;F20R_fsa;VARIANTE FERIA;7;;22.48420933;Sin Modificacion;R;F20;F20;F20;F20 08R;F20R;5;0;0;0;0;0;0;0;1
7582;119R_fmisa;VARIANTE FERIA;3;;18.86061031;Sin Modificacion;R;119;319;T319;T319 06R;119R;5;0;0;0;0;0;0;0;1
7587;119I_fmisa;VARIANTE FERIA;3;;19.52886767;Sin Modificacion;I;119;319;T319;T319 06I;119I;5;0;0;0;0;0;0;0;1
7594;D17I;ALTO MACUL - (M) QUILIN;4;;10.11096419;Sin Modificacion;I;D17;457;T457;T457 00I;D17I;1;4;6;462;594;1;1;0;1
7595;D17IPRN;VARIANTE PRENOCTURNA;4;;10.24431152;Sin Modificacion;I;D17;457;T457;T457 03I;D17I;2;0;0;0;0;0;0;0;1
7661;F01cR;(M) PLAZA PUENTE ALTO - CASAS VIEJAS;7;;13.28833896;Sin Modificacion;R;F01c;F01c;F01c;F01 C0 00R;F01cR;1;4;2;266;114;1;1;2;1
7663;I08R;(M) SAN ALBERTO HURTADO - MALL ARAUCO;3;;14.4487284;Sin Modificacion;R;I08;378;T378;T378 00R;I08R;1;0;0;0;0;0;0;0;1
7681;E05I;(M) LA CISTERNA - (M) BELLAVISTA DE LA FLORIDA;3;;11.21556837;Sin Modificacion;I;E05;355;T355;T355 00I;E05I;1;0;4;0;441;0;1;0;1
7682;E05IPRN;VARIANTE PRENOCTURNA;3;;11.21556837;Sin Modificacion;I;E05;355;T355;T355 03I;E05I;2;0;0;0;0;0;0;0;1
7683;E05I_fmisa;VARIANTE FERIA;3;;11.69807638;Sin Modificacion;I;E05;355;T355;T355 06I;E05I;5;0;0;0;0;0;0;0;1
7684;E05I_cvd;VARIANTE CICLOVIA;3;;9.984867446;Sin Modificacion;I;E05;355;T355;T355 10I;E05I;6;0;0;0;0;0;0;0;1
7761;507cR;PEÑALOLEN - (M) PARQUE O'HIGGINS;5;;13.6387525;Sin Modificacion;R;507c;507c;T507c;T507 C0 00R;507cR;1;5;4;432;324;1;1;0;1
7824;E13R;(M) BELLAVISTA DE LA FLORIDA - GABRIELA;3;;9.917059694;Sin Modificacion;R;E13;363;T363;T363 00R;E13R;1;0;5;0;539;0;1;0;1
7825;E07I;(M) BELLAVISTA DE LA FLORIDA - ROJAS MAGALLANES;3;;7.089217971;Sin Modificacion;I;E07;357;T357;T357 00I;E07I;1;5;5;522;490;1;1;0;1
7826;E15cR;(M) BELLAVISTA DE LA FLORIDA - GABRIELA;3;;10.44778948;Sin Modificacion;R;E15c;365c;T365c;T365 C0 00R;E15cR;1;5;4;522;441;1;1;0;1
7827;E13RPRN;VARIANTE PRENOCTURNA;3;;9.917059694;Sin Modificacion;R;E13;363;T363;T363 03R;E13R;2;0;0;0;0;0;0;0;1
7828;E18R;(M) BELLAVISTA DE LA FLORIDA - HOSPITAL PADRE HURTADO;3;;10.39316437;Sin Modificacion;R;E18;349;T349;T349 00R;E18R;1;4;4;457;441;1;1;0;1
7829;E07IPRN;VARIANTE PRENOCTURNA;3;;7.089217971;Sin Modificacion;I;E07;357;T357;T357 03I;E07I;2;0;0;0;0;0;0;0;1
7830;E18RPRN;VARIANTE PRENOCTURNA;3;;10.39316437;Sin Modificacion;R;E18;349;T349;T349 03R;E18R;2;0;0;0;0;0;0;0;1
7831;E13RPM;VARIANTE PUNTA MAÑANA;3;;9.954272351;Sin Modificacion;R;E13;363;T363;T363 01R;E13R;2;5;0;522;0;1;0;0;1
7832;E15cR_fmisa;VARIANTE FERIA;3;;10.45685838;Sin Modificacion;R;E15c;365c;T365c;T365 C0 06R;E15cR;5;0;0;0;0;0;0;0;1
7835;E08R;(M) BELLAVISTA DE LA FLORIDA - DIEGO PORTALES;3;;8.915686585;Sin Modificacion;R;E08;358;T358;T358 00R;E08R;1;0;5;0;490;0;1;0;1
7836;E08RPM;VARIANTE PUNTA MAÑANA;3;;9.413898732;Sin Modificacion;R;E08;358;T358;T358 01R;E08R;2;4;0;392;0;1;0;0;1
7837;E08RPRN;VARIANTE PRENOCTURNA;3;;8.915686585;Sin Modificacion;R;E08;358;T358;T358 03R;E08R;2;0;0;0;0;0;0;0;1
7838;E08RPM_fju;VARIANTE FERIA;3;;9.400538492;Sin Modificacion;R;E08;358;T358;T358 06R;E08R;5;0;0;0;0;0;0;0;1
