stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1,AG,Camino Agrícola,,-33.491585,-70.617531,https://www.metro.cl/estacion/,1
2,AH,San Alberto Hurtado,,-33.454113,-70.692436,https://www.metro.cl/estacion/,1
3,AL,Alcántara,,-33.415325,-70.589453,https://www.metro.cl/estacion/,1
4,AN,Santa Ana,,-33.438318,-70.65985,https://www.metro.cl/estacion/NA,1
5,AV,Vespucio Norte,,-33.380429,-70.646821,https://www.metro.cl/estacion/AV,1
6,BA,Baquedano,Ingresa a 'Información de ruta' para ver estado de la red. Ascensor de acceso ubicado entre Av. General Bustamante y Ramón Carnicer (frente a Parque Bustamante),-33.437036,-70.633527,https://www.metro.cl/el-viaje/estado-red,1
7,BE,Bellas Artes,,-33.436611,-70.644524,https://www.metro.cl/estacion/,1
8,BI,Francisco Bilbao,,-33.431484,-70.584641,https://www.metro.cl/estacion/,1
9,BL,Blanqueado,,-33.441505,-70.707321,https://www.metro.cl/estacion/,1
10,BR,Barrancas,,-33.452669,-70.739017,https://www.metro.cl/estacion/,1
11,BU,Santiago Bueras,,-33.496645,-70.757567,https://www.metro.cl/estacion/,1
12,CA,CAL Y CANTO,,-33.432716,-70.6525,https://www.metro.cl/estacion/PCA,1
13,CB,Cerro Blanco,,-33.422554,-70.644974,https://www.metro.cl/estacion/,1
14,CE,Cementerios,,-33.414074,-70.643562,https://www.metro.cl/estacion/,1
15,CH,Universidad de Chile,,-33.443809,-70.650391,https://www.metro.cl/estacion/UCH,1
16,CN,Ciudad del Niño,,-33.510162,-70.65686,https://www.metro.cl/estacion/,1
17,CO,Cristóbal Colón,,-33.426224,-70.590973,https://www.metro.cl/estacion/,1
18,CV,Carlos Valdovinos,,-33.485641,-70.619652,https://www.metro.cl/estacion/,1
19,DE,Departamental,,-33.502556,-70.65464,https://www.metro.cl/estacion/,1
20,DO,Dorsal,,-33.396801,-70.642677,https://www.metro.cl/estacion/,1
21,DS,Del Sol,,-33.489991,-70.752848,https://www.metro.cl/estacion/,1
22,EA,Elisa Correa,,-33.569405,-70.583611,https://www.metro.cl/estacion/,1
23,EC,Ecuador,,-33.456047,-70.699669,https://www.metro.cl/estacion/,1
24,PZE,Plaza Egaña,,-33.453278,-70.570732,https://www.metro.cl/estacion/PZE,1
25,EI,Einstein,,-33.405731,-70.643135,https://www.metro.cl/estacion/,1
26,EL,Estación Central,,-33.45097,-70.679169,https://www.metro.cl/estacion/,1
27,EM,Escuela Militar,,-33.413752,-70.58325,https://www.metro.cl/estacion/,1
28,EP,El Parrón,,-33.526531,-70.661423,https://www.metro.cl/estacion/,1
29,FRA,FRANKLIN,,-33.476217,-70.649632,https://www.metro.cl/estacion/FRA,1
30,GA,Príncipe de Gales,,-33.439163,-70.57309,https://www.metro.cl/estacion/,1
31,GL,Gruta de Lourdes,,-33.438262,-70.690838,https://www.metro.cl/estacion/,1
32,GO,El Golf,,-33.416611,-70.595688,https://www.metro.cl/estacion/,1
33,HM,Hernando de Magallanes,,-33.407904,-70.556213,https://www.metro.cl/estacion/,1
34,HS,Hospital Sótero del Río,,-33.576462,-70.582375,https://www.metro.cl/estacion/,1
35,IRA,IRARRAZAVAL,,-33.453766,-70.628773,https://www.metro.cl/estacion/IRA,1
36,JE,San José de la Estrella,,-33.553356,-70.586562,https://www.metro.cl/estacion/,1
37,JU,Santa Julia,,-33.531105,-70.605499,https://www.metro.cl/estacion/,1
38,LA,Unión Latino Americana,,-33.449467,-70.673203,https://www.metro.cl/estacion/,1
39,LC,La Cisterna,,-33.537376,-70.664381,https://www.metro.cl/estacion/LC,1
40,LD,Los Dominicos,,-33.407895,-70.545109,https://www.metro.cl/estacion/,1
41,LEN,Los Leones,,-33.422164,-70.60859,https://www.metro.cl/estacion/LEN,1
42,LF,Bellavista de la Florida,,-33.519822,-70.599652,https://www.metro.cl/estacion/,1
43,LG,La Granja,,-33.541138,-70.615967,https://www.metro.cl/estacion/,1
44,LH,LOS HEROES,,-33.446148,-70.660382,https://www.metro.cl/estacion/HE,1
45,LN,El Llano,,-33.482703,-70.649445,https://www.metro.cl/estacion/,1
46,LM,La Moneda,,-33.444857,-70.654811,https://www.metro.cl/estacion/,1
47,LO,Lo Ovalle,,-33.5172,-70.658707,https://www.metro.cl/estacion/,1
48,LP,Los Presidentes,,-33.479797,-70.578712,https://www.metro.cl/estacion/,1
49,LQ,Los Quillayes,,-33.560627,-70.585289,https://www.metro.cl/estacion/,1
50,LR,Las Rejas,,-33.457157,-70.705963,https://www.metro.cl/estacion/,1
51,LS,Laguna Sur,,-33.462563,-70.738066,https://www.metro.cl/estacion/,1
52,LT,Las Torres,,-33.500034,-70.587074,https://www.metro.cl/estacion/,1
53,LV,Lo Vial,,-33.497272,-70.653107,https://www.metro.cl/estacion/,1
54,MA,Mirador,,-33.512936,-70.606583,https://www.metro.cl/estacion/,1
55,MC,Macul,,-33.508785,-70.589485,https://www.metro.cl/estacion/,1
56,ME,Las Mercedes,,-33.602119,-70.577194,https://www.metro.cl/estacion/,1
57,MM,Manuel Montt,,-33.428341,-70.619209,https://www.metro.cl/estacion/,1
58,MQ,Manquehue,,-33.409251,-70.568734,https://www.metro.cl/estacion/,1
59,MT,Monte Tabor,,-33.481816,-70.745165,https://www.metro.cl/estacion/,1
60,NP,Neptuno,,-33.451546,-70.722687,https://www.metro.cl/estacion/,1
61,NUB,Ñuble,,-33.46719,-70.625186,https://www.metro.cl/estacion/NUB,1
62,OR,Los Orientales,,-33.462456,-70.573792,https://www.metro.cl/estacion/,1
63,PA,Las Parcelas,,-33.475394,-70.740043,https://www.metro.cl/estacion/,1
64,PB,Parque Bustamante,,-33.442787,-70.63163,https://www.metro.cl/estacion/,1
65,PE,Pedrero,,-33.507812,-70.612663,https://www.metro.cl/estacion/,1
66,PI,Protectora de la Infancia,,-33.589287,-70.579704,https://www.metro.cl/estacion/,1
67,PJ,Pajaritos,,-33.457981,-70.715775,https://www.metro.cl/estacion/,1
68,PM,PLAZA MAIPU,,-33.510522,-70.75723,https://www.metro.cl/estacion/,1
69,PPA,Plaza de Puente Alto,,-33.609547,-70.575905,https://www.metro.cl/estacion/PPA,1
70,PQ,PARQUE OHIGGINS,,-33.460464,-70.656868,https://www.metro.cl/estacion/,1
71,PR,Lo Prado,,-33.443298,-70.716412,https://www.metro.cl/estacion/,1
72,PT,Patronato,,-33.42963,-70.647064,https://www.metro.cl/estacion/,1
73,PU,Pudahuel,,-33.44483,-70.740722,https://www.metro.cl/estacion/,1
74,PV,Pedro de Valdivia,,-33.425465,-70.614273,https://www.metro.cl/estacion/,1
75,PZ,Plaza de Armas,,-33.43726,-70.650551,https://www.metro.cl/estacion/PZ,1
76,QN,Quinta Normal,,-33.440282,-70.680357,https://www.metro.cl/estacion/,1
77,RA,Rodrigo de Araya,,-33.477516,-70.622314,https://www.metro.cl/estacion/,1
78,RC,Cumming,,-33.439098,-70.668427,https://www.metro.cl/estacion/,1
